,from_cluster,to_cluster,tokens_n,chars_n,from_cluster_chars_n,to_cluster_chars_n,from_cluster_tokens_n,to_cluster_tokens_n,from_cluster_in_degree,to_cluster_in_degree,from_cluster_out_degree,to_cluster_out_degree,from_cluster_law_names,to_cluster_law_names,from_cluster_bipartite,to_cluster_bipartite,chars_n_fraction_of_from_cluster,chars_n_fraction_of_to_cluster,tokens_n_fraction_of_from_cluster,tokens_n_fraction_of_to_cluster,event_category
276,1994_222,1995_53,22632,139114,149331,604615,24252,97527,0,5,1,2,"070_1994,73","070_1995,287,120_1995,7,100_1995,7,060_1995,4",1994,1995,0.9315815202469682,0.23008691481355903,0.9332013854527461,0.2320588144821434,growth
279,1994_225,1995_15,6219,38139,41562,1366776,6791,222007,0,2,1,4,"150_1994,47","210_1995,175,150_1995,129,070_1995,66,350_1995,2,280_1995,2",1994,1995,0.9176411144795726,0.027904353017612248,0.9157708732145486,0.02801263023238006,merge
305,1994_251,1995_329,11267,72339,82812,82812,12868,12864,0,1,1,1,"150_1994,34","150_1995,34",1994,1995,0.873532821330242,0.873532821330242,0.8755828411563569,0.8758550995024875,stasis
306,1994_252,1995_330,5324,34430,39135,38192,6047,5888,0,1,1,1,"150_1994,14","150_1995,14",1994,1995,0.8797751373450875,0.9014976958525346,0.8804365801223747,0.9042119565217391,stasis
310,1994_256,1995_333,6518,43871,52147,52566,7757,7811,0,1,1,1,"150_1994,16","150_1995,16",1994,1995,0.8412948012349704,0.8345888977666172,0.8402733015340982,0.8344642171296889,stasis
315,1994_262,1995_291,11676,71869,80571,82572,13010,13312,0,1,1,1,"020_1994,103","020_1995,104",1994,1995,0.8919958794107061,0.8703797897592405,0.8974634896233666,0.8771033653846154,stasis
321,1994_271,1995_298,16987,104316,113975,114495,18453,18561,0,1,1,1,"020_1994,39","020_1995,38",1994,1995,0.9152533450318052,0.9110965544346915,0.9205549233187016,0.9151985345617154,stasis
347,1994_297,1995_59,6690,43212,48759,220696,7529,36039,0,2,1,1,"380_1994,22","380_1995,117,100_1995,4",1994,1995,0.8862363871285301,0.19579874578605866,0.8885642183556913,0.18563223174893864,merge
348,1994_298,1995_226,7874,48141,56944,56944,9298,9298,0,1,1,1,"380_1994,21","380_1995,21",1994,1995,0.8454095251475133,0.8454095251475133,0.8468487846848785,0.8468487846848785,stasis
352,1994_302,1995_229,7124,44425,45427,45356,7282,7270,0,1,1,1,"160_1994,30","160_1995,30",1994,1995,0.9779426332357408,0.9794734985448452,0.9783026641032684,0.979917469050894,stasis
354,1994_304,1995_231,5988,37210,41348,41206,6602,6602,0,1,1,1,"160_1994,35","160_1995,35",1994,1995,0.8999226081068008,0.9030238314808523,0.9069978794304756,0.9069978794304756,stasis
